Packet Hop,Origin (IP),Destination,IP Address,Lat,Long,Location
3,192.168.1.2,ivi.ru,154.54.40.49,40.7143,-74.006,JFK
4,192.168.1.2,ivi.ru,154.54.42.86,51.5074,-0.127758,LON
5,192.168.1.2,ivi.ru,130.117.51.42,49.4158,2.82248,AMS
6,192.168.1.2,ivi.ru,154.54.38.210,53.5497,9.99537,HAM
7,192.168.1.2,ivi.ru,154.54.72.106,59.3348,18.0712,STO
1,192.168.1.2,rzd.ru,67.83.221.166,41.6696,-73.5587,Optimum
2,192.168.1.2,rzd.ru,64.15.0.106,40.7996,-73.9703,"New York, NY"
3,192.168.1.2,rzd.ru,63.218.92.117,39.0329,-77.4866,"Ashburn, Virginia"
4,192.168.1.2,rzd.ru,63.218.232.57,50.1266,8.66786,"Frankfurt, Germany"
5,192.168.1.2,rzd.ru,217.150.49.26,55.7551,37.6342,"Moscow, Russia"
1,192.168.1.2,topwar.ru,67.83.221.166,41.6696,-73.5587,Optimum
2,192.168.1.2,topwar.ru,64.15.0.106,40.7996,-73.9703,"New York, NY"
3,192.168.1.2,topwar.ru,63.218.92.117,39.0329,-77.4866,"Ashburn, Virginia"
4,192.168.1.2,topwar.ru,63.218.232.57,50.1266,8.66786,"Frankfurt, Germany"
5,192.168.1.2,topwar.ru,217.150.55.234,51.2022,42.2607,"Povorino, Russia"
6,192.168.1.2,topwar.ru,188.93.17.147,59.939,30.3158,"St. Petersburg, Russia"
1,192.168.1.2,cosmo.ru,67.83.221.170,41.6696,-73.5587,Optimum
2,192.168.1.2,cosmo.ru,64.15.0.106,40.7996,-73.9703,"New York, NY"
3,192.168.1.2,cosmo.ru,63.218.92.117,39.0329,-77.4866,"Ashburn, Virginia"
4,192.168.1.2,cosmo.ru,63.218.232.57,50.1266,8.66786,"Frankfurt, Germany"
5,192.168.1.2,cosmo.ru,217.150.55.21,51.2022,42.2607,"Povorino, Russia"
6,192.168.1.2,cosmo.ru,185.129.103.66,47.2306,39.7175,"Rostov, Russia"
